Text,Amount,Category
I used shuttle and spent $10,10,Transport
I took taxi and paid $93 for the trip,93,Transport
I paid $61 for my daily commute,61,Transport
I paid $27 for Uber to the airport,27,Transport
I paid $99 for metro,99,Transport
I paid $112 for parking at downtown,112,Transport
I took bus and paid $72 for the trip,72,Transport
I paid $156 for car maintenance and repairs,156,Transport
I used metro and paid $137 for errands,137,Transport
I used Uber and paid $21 for errands,21,Transport
I spent $17 on gas for the car,17,Transport
I spent $75 on train for the meeting,75,Transport
I used taxi and paid $140 for errands,140,Transport
I spent $172 on Uber for the meeting,172,Transport
I paid $45 for parking downtown,45,Transport
I took train and paid $23 for the trip,23,Transport
I used train and spent $136,136,Transport
I used train and spent $94,94,Transport
I spent $37 on transportation to work,37,Transport
I paid $109 for car maintenance and repairs,109,Transport
I paid $74 for parking downtown,74,Transport
I paid $9 for ride share to the airport,9,Transport
I took an Lyft to the office and paid $53 for the ride,53,Transport
I used taxi and paid $102 for errands,102,Transport
I paid $49 for shuttle to work,49,Transport
I paid $177 for parking downtown,177,Transport
I took an metro to the concert and paid $15 for the ride,15,Transport
I spent $7 on gas for the car,7,Transport
I spent $150 on Lyft to visit family,150,Transport
I took taxi and paid $29 downtown,29,Transport
I paid $25 for parking at the city center,25,Transport
I filled up my gas tank and paid $181,181,Transport
I paid $101 for parking downtown,101,Transport
I spent $154 on transportation to the school,154,Transport
I spent $55 on gas for the car,55,Transport
I filled up my gas tank and paid $143,143,Transport
I paid $144 for my daily commute,144,Transport
I spent $153 on metro for the meeting,153,Transport
I took an train to the restaurant and paid $27 for the ride,27,Transport
I paid $138 for metro to work,138,Transport
I paid $178 for my daily commute,178,Transport
I spent $125 on transportation to the mall,125,Transport
I used taxi and paid $26 for errands,26,Transport
I spent $179 on transportation to the appointment,179,Transport
I spent $135 on shuttle for my commute,135,Transport
I took metro and paid $138 for the trip,138,Transport
I spent $114 on transportation to the mall,114,Transport
I spent $108 on Lyft for the meeting,108,Transport
I paid $167 for Lyft to the airport,167,Transport
I paid $94 for parking downtown,94,Transport
I used taxi and paid $139 to get to the mall,139,Transport
I spent $111 on transportation to work,111,Transport
I spent $143 on Uber for my commute,143,Transport
I spent $146 on gas for the car,146,Transport
I used shuttle and paid $50 to get to the mall,50,Transport
I took taxi and paid $124 for the trip,124,Transport
I paid $186 for train,186,Transport
I used bus and paid $5 for errands,5,Transport
I spent $152 on transportation to the meeting,152,Transport
I used ride share and paid $130 for errands,130,Transport
I spent $5 on subway to visit family,5,Transport
I paid $13 for car maintenance and repairs,13,Transport
I spent $92 on Uber to visit family,92,Transport
I paid $41 for parking downtown,41,Transport
I spent $10 on transportation to the concert,10,Transport
I spent $37 on gas for the car,37,Transport
I spent $3 on subway for the meeting,3,Transport
I took Uber and paid $33 for the trip,33,Transport
I used train and spent $186,186,Transport
I purchased a metro ticket and paid $172 to the city,172,Transport
I paid $21 for bus,21,Transport
I spent $122 on train for my commute,122,Transport
I paid $189 for subway,189,Transport
I spent $75 on subway for my commute,75,Transport
I paid $196 for my daily commute,196,Transport
I paid $112 for parking downtown,112,Transport
I paid $20 for metro to work,20,Transport
I used Lyft and paid $110 for errands,110,Transport
I spent $188 on Uber for the meeting,188,Transport
I purchased a metro ticket and paid $15 to the city,15,Transport
I paid $184 for Uber,184,Transport
I paid $116 for Lyft,116,Transport
I took bus and paid $162 for the trip,162,Transport
I used subway and spent $121,121,Transport
I filled up my gas tank and paid $75,75,Transport
I used ride share and paid $154 for errands,154,Transport
I paid $120 for parking at the city center,120,Transport
I paid $146 for parking at the city center,146,Transport
I spent $91 on transportation to the meeting,91,Transport
I paid $97 for parking downtown,97,Transport
I took an Uber to the airport and paid $87 for the ride,87,Transport
I paid $57 for parking downtown,57,Transport
I took Uber and paid $8 for the trip,8,Transport
I paid $178 for train to work,178,Transport
I spent $19 on transportation to the hospital,19,Transport
I paid $194 for taxi,194,Transport
I filled up my gas tank and paid $186,186,Transport
I took taxi and paid $40 downtown,40,Transport
I took shuttle and paid $84 for the trip,84,Transport
I spent $148 on transportation to the airport,148,Transport
I took train and paid $91 for the trip,91,Transport
I paid $77 for car maintenance and repairs,77,Transport
I paid $105 for parking at the stadium,105,Transport
I used taxi and paid $80 for errands,80,Transport
I spent $102 on ride share to visit family,102,Transport
I paid $151 for parking downtown,151,Transport
I paid $181 for taxi to work,181,Transport
I took an bus to the mall and paid $59 for the ride,59,Transport
I paid $176 for my daily commute,176,Transport
I paid $71 for ride share,71,Transport
I paid $136 for train to the airport,136,Transport
I paid $182 for subway,182,Transport
I filled up my gas tank and paid $187,187,Transport
I purchased a subway ticket and paid $5 to the office,5,Transport
I paid $88 for parking at the stadium,88,Transport
I spent $107 on gas for the car,107,Transport
I spent $70 on subway for my commute,70,Transport
I took taxi and paid $104 downtown,104,Transport
I took bus and paid $152 downtown,152,Transport
I paid $123 for Lyft to the airport,123,Transport
I purchased a metro ticket and paid $100 to the meeting,100,Transport
I filled up my gas tank and paid $110,110,Transport
I paid $38 for parking at the hospital,38,Transport
I paid $23 for shuttle,23,Transport
I spent $15 on gas for the car,15,Transport
I paid $72 for train to work,72,Transport
I spent $14 on ride share for the meeting,14,Transport
I used Uber and paid $30 for errands,30,Transport
I took ride share and paid $78 for the trip,78,Transport
I spent $46 on Lyft for my commute,46,Transport
I paid $199 for car maintenance and repairs,199,Transport
I paid $124 for car maintenance and repairs,124,Transport
I paid $61 for parking at work,61,Transport
I used bus and spent $149,149,Transport
I paid $64 for Uber to work,64,Transport
I paid $28 for car maintenance and repairs,28,Transport
I spent $89 on transportation to the school,89,Transport
I paid $35 for bus to work,35,Transport
I paid $191 for taxi to work,191,Transport
I spent $41 on transportation to the school,41,Transport
I used Uber and paid $47 for errands,47,Transport
I paid $155 for train to the airport,155,Transport
I paid $57 for ride share to work,57,Transport
I paid $17 for bus,17,Transport
I paid $145 for car maintenance and repairs,145,Transport
I paid $199 for my daily commute,199,Transport
I paid $22 for my daily commute,22,Transport
I spent $100 on gas for the car,100,Transport
I spent $147 on transportation to the hospital,147,Transport
I spent $89 on Lyft to visit family,89,Transport
I purchased a subway ticket and paid $43 to the mall,43,Transport
I filled up my gas tank and paid $85,85,Transport
I spent $18 on gas for the car,18,Transport
I paid $152 for bus,152,Transport
I purchased a subway ticket and paid $81 to downtown,81,Transport
I spent $187 on metro to visit family,187,Transport
I spent $177 on transportation to the hospital,177,Transport
I spent $99 on gas for the car,99,Transport
I paid $31 for taxi to work,31,Transport
I took train and paid $153 downtown,153,Transport
I used ride share and spent $91,91,Transport
I used taxi and paid $177 for errands,177,Transport
I spent $146 on Lyft for the meeting,146,Transport
I paid $104 for my daily commute,104,Transport
I spent $147 on taxi to visit family,147,Transport
I paid $191 for parking at work,191,Transport
I paid $138 for my daily commute,138,Transport
I paid $6 for taxi to work,6,Transport
I spent $102 on shuttle for the meeting,102,Transport
I spent $79 on bus for my commute,79,Transport
I spent $31 on shuttle for the meeting,31,Transport
I used ride share and paid $143 for errands,143,Transport
I paid $35 for my daily commute,35,Transport
I purchased a train ticket and paid $200 to the concert,200,Transport
I paid $104 for bus to work,104,Transport
I purchased a train ticket and paid $104 to downtown,104,Transport
I paid $13 for parking downtown,13,Transport
I took an Lyft to the office and paid $70 for the ride,70,Transport
I spent $8 on transportation to the concert,8,Transport
I paid $36 for parking downtown,36,Transport
I took an ride share to the meeting and paid $150 for the ride,150,Transport
I paid $166 for parking downtown,166,Transport
I spent $33 on gas for the car,33,Transport
I paid $70 for parking at the airport,70,Transport
I took Lyft and paid $92 downtown,92,Transport
I took an ride share to the airport and paid $36 for the ride,36,Transport
I spent $170 on bus for the meeting,170,Transport
I paid $161 for car maintenance and repairs,161,Transport
I spent $44 on Uber for the meeting,44,Transport
I filled up my gas tank and paid $195,195,Transport
I filled up my gas tank and paid $48,48,Transport
I paid $125 for car maintenance and repairs,125,Transport
I purchased a bus ticket and paid $70 to the hospital,70,Transport
I paid $11 for train,11,Transport
I paid $145 for shuttle,145,Transport
I paid $77 for Lyft to the airport,77,Transport
I filled up my gas tank and paid $154,154,Transport
I took train and paid $95 downtown,95,Transport
I paid $171 for parking downtown,171,Transport
I paid $5 for bus to the airport,5,Transport
I spent $16 on shuttle for my commute,16,Transport
I used Uber and spent $68,68,Transport
I paid $102 for my daily commute,102,Transport
I used train and paid $28 to get to the office,28,Transport
I took shuttle and paid $183 for the trip,183,Transport
I filled up my gas tank and paid $134,134,Transport
I took an Lyft to the restaurant and paid $32 for the ride,32,Transport
I used shuttle and spent $21,21,Transport
I paid $108 for metro,108,Transport
I paid $67 for Lyft to the airport,67,Transport
I paid $3 for my daily commute,3,Transport
I paid $95 for parking downtown,95,Transport
I spent $124 on subway for my commute,124,Transport
I took ride share and paid $86 downtown,86,Transport
I used subway and spent $46,46,Transport
I paid $78 for car maintenance and repairs,78,Transport
I spent $185 on transportation to the restaurant,185,Transport
I paid $186 for parking downtown,186,Transport
I purchased a subway ticket and paid $48 to work,48,Transport
I purchased a metro ticket and paid $18 to the school,18,Transport
I paid $84 for metro to work,84,Transport
I paid $91 for Uber to the airport,91,Transport
I paid $133 for ride share to work,133,Transport
I took metro and paid $162 for the trip,162,Transport
I paid $135 for my daily commute,135,Transport
I paid $123 for parking downtown,123,Transport
I used train and paid $190 for errands,190,Transport
I used ride share and paid $74 for errands,74,Transport
I paid $123 for ride share to the airport,123,Transport
I spent $174 on train to visit family,174,Transport
I used taxi and paid $154 to get to the office,154,Transport
I paid $112 for car maintenance and repairs,112,Transport
I paid $104 for car maintenance and repairs,104,Transport
I spent $180 on taxi for my commute,180,Transport
I spent $126 on subway for the meeting,126,Transport
I filled up my gas tank and paid $104,104,Transport
I spent $199 on gas for the car,199,Transport
I used taxi and spent $96,96,Transport
I filled up my gas tank and paid $18,18,Transport
I used Lyft and paid $168 for errands,168,Transport
I spent $57 on train to visit family,57,Transport
I took an subway to the mall and paid $92 for the ride,92,Transport
I paid $100 for car maintenance and repairs,100,Transport
I paid $168 for train to the airport,168,Transport
I used taxi and paid $31 to get to the city,31,Transport
I spent $24 on gas for the car,24,Transport
I spent $90 on subway to visit family,90,Transport
I paid $165 for car maintenance and repairs,165,Transport
I spent $189 on transportation to the restaurant,189,Transport
I paid $87 for car maintenance and repairs,87,Transport
I used ride share and paid $98 to get to the restaurant,98,Transport
I used bus and spent $12,12,Transport
I spent $35 on transportation to the mall,35,Transport
I spent $109 on train for the meeting,109,Transport
I took Uber and paid $128 downtown,128,Transport
I paid $159 for my daily commute,159,Transport
I filled up my gas tank and paid $66,66,Transport
I took an Uber to the concert and paid $68 for the ride,68,Transport
I paid $104 for my daily commute,104,Transport
I paid $79 for my daily commute,79,Transport
I filled up my gas tank and paid $188,188,Transport
I took taxi and paid $167 downtown,167,Transport
I paid $158 for Lyft to the airport,158,Transport
I paid $45 for parking downtown,45,Transport
I paid $116 for metro,116,Transport
I used taxi and spent $38,38,Transport
I spent $75 on gas for the car,75,Transport
I paid $55 for parking downtown,55,Transport
I took an Uber to the meeting and paid $101 for the ride,101,Transport
I paid $183 for my daily commute,183,Transport
I used metro and spent $177,177,Transport
I paid $182 for parking at downtown,182,Transport
I used ride share and paid $28 to get to work,28,Transport
I spent $129 on transportation to the office,129,Transport
I used shuttle and paid $79 for errands,79,Transport
I paid $15 for Lyft to the airport,15,Transport
I spent $150 on train for the meeting,150,Transport
I spent $93 on transportation to downtown,93,Transport
I paid $178 for my daily commute,178,Transport
I paid $181 for my daily commute,181,Transport
I paid $69 for my daily commute,69,Transport
I spent $104 on bus to visit family,104,Transport
I paid $157 for subway to the airport,157,Transport
I used bus and paid $31 for errands,31,Transport
I paid $57 for my daily commute,57,Transport
I paid $174 for car maintenance and repairs,174,Transport
I took an train to the appointment and paid $3 for the ride,3,Transport
I paid $111 for car maintenance and repairs,111,Transport
I paid $182 for subway to the airport,182,Transport
I spent $148 on gas for the car,148,Transport
I paid $60 for Lyft to work,60,Transport
I paid $14 for parking at work,14,Transport
I spent $154 on metro for my commute,154,Transport
I used train and spent $3,3,Transport
I spent $119 on Lyft for the meeting,119,Transport
I filled up my gas tank and paid $138,138,Transport
I used Uber and paid $64 for errands,64,Transport
I paid $196 for parking at the city center,196,Transport
I used subway and spent $30,30,Transport
I filled up my gas tank and paid $18,18,Transport
I took an ride share to the city and paid $15 for the ride,15,Transport
I spent $74 on transportation to the office,74,Transport
I spent $99 on train to visit family,99,Transport
I paid $159 for parking at the airport,159,Transport
I used bus and paid $137 for errands,137,Transport
I paid $4 for parking at the city center,4,Transport
I filled up my gas tank and paid $71,71,Transport
I paid $88 for parking downtown,88,Transport
I spent $44 on Uber to visit family,44,Transport
I spent $156 on subway for the meeting,156,Transport
I paid $49 for parking at downtown,49,Transport
I paid $160 for my daily commute,160,Transport
I used train and paid $140 to get to the concert,140,Transport
I paid $38 for taxi,38,Transport
I paid $69 for shuttle,69,Transport
I spent $102 on bus to visit family,102,Transport
I spent $88 on taxi for the meeting,88,Transport
I used metro and paid $124 to get to the school,124,Transport
I took ride share and paid $164 downtown,164,Transport
I paid $173 for train,173,Transport
I used Uber and paid $171 to get to the concert,171,Transport
I spent $199 on metro to visit family,199,Transport
I took ride share and paid $80 for the trip,80,Transport
I spent $182 on transportation to work,182,Transport
I took an shuttle to the hospital and paid $182 for the ride,182,Transport
I paid $117 for Lyft to the airport,117,Transport
I paid $77 for bus to work,77,Transport
I paid $26 for parking downtown,26,Transport
I used Uber and paid $33 for errands,33,Transport
I paid $155 for car maintenance and repairs,155,Transport
I paid $103 for shuttle,103,Transport
I spent $10 on ride share for the meeting,10,Transport
I spent $10 on metro for my commute,10,Transport
I purchased a train ticket and paid $89 to the appointment,89,Transport
I paid $135 for taxi to the airport,135,Transport
I paid $52 for parking at the mall,52,Transport
I took bus and paid $163 for the trip,163,Transport
I paid $56 for parking at the hospital,56,Transport
I took an bus to work and paid $6 for the ride,6,Transport
I filled up my gas tank and paid $39,39,Transport
I paid $35 for subway,35,Transport
I used subway and paid $124 for errands,124,Transport
I filled up my gas tank and paid $8,8,Transport
I used metro and spent $200,200,Transport
I took train and paid $93 downtown,93,Transport
I used bus and paid $176 for errands,176,Transport
I used Uber and spent $159,159,Transport
I paid $133 for parking downtown,133,Transport
I used taxi and paid $14 for errands,14,Transport
I used taxi and paid $13 to get to the hospital,13,Transport
I filled up my gas tank and paid $47,47,Transport
I purchased a train ticket and paid $25 to the hospital,25,Transport
I used Lyft and paid $61 for errands,61,Transport
I took metro and paid $138 downtown,138,Transport
I spent $77 on taxi to visit family,77,Transport
I spent $37 on ride share for my commute,37,Transport
I paid $14 for Uber,14,Transport
I took taxi and paid $86 for the trip,86,Transport
I paid $70 for car maintenance and repairs,70,Transport
I paid $129 for parking at the mall,129,Transport
I paid $157 for parking at downtown,157,Transport
I paid $149 for train to the airport,149,Transport
I took bus and paid $83 downtown,83,Transport
I paid $185 for subway to work,185,Transport
I used subway and paid $82 for errands,82,Transport
I spent $146 on transportation to the meeting,146,Transport
I took an shuttle to work and paid $76 for the ride,76,Transport
I filled up my gas tank and paid $103,103,Transport
I spent $93 on transportation to work,93,Transport
I used subway and paid $186 for errands,186,Transport
I paid $75 for subway to work,75,Transport
I paid $86 for bus,86,Transport
I used metro and spent $190,190,Transport
I paid $117 for my daily commute,117,Transport
I purchased a bus ticket and paid $5 to the city,5,Transport
I paid $66 for car maintenance and repairs,66,Transport
I paid $95 for my daily commute,95,Transport
I took metro and paid $124 downtown,124,Transport
I took an Uber to the restaurant and paid $118 for the ride,118,Transport
I used train and paid $75 for errands,75,Transport
I paid $39 for Uber,39,Transport
I paid $61 for parking at downtown,61,Transport
I filled up my gas tank and paid $105,105,Transport
I spent $43 on transportation to the school,43,Transport
I spent $164 on train for my commute,164,Transport
I paid $151 for parking downtown,151,Transport
I spent $109 on transportation to the meeting,109,Transport
I paid $177 for parking downtown,177,Transport
I paid $145 for taxi to the airport,145,Transport
I took train and paid $197 downtown,197,Transport
I took ride share and paid $54 downtown,54,Transport
I paid $147 for shuttle to work,147,Transport
I used bus and paid $39 to get to the meeting,39,Transport
I used metro and spent $86,86,Transport
I took Lyft and paid $178 for the trip,178,Transport
I paid $118 for parking at the city center,118,Transport
I spent $24 on ride share for the meeting,24,Transport
I paid $97 for Uber to the airport,97,Transport
I used Uber and paid $105 to get to the school,105,Transport
I paid $177 for car maintenance and repairs,177,Transport
I paid $4 for taxi to work,4,Transport
I purchased a metro ticket and paid $131 to the mall,131,Transport
I spent $200 on shuttle to visit family,200,Transport
I paid $62 for parking downtown,62,Transport
I paid $65 for car maintenance and repairs,65,Transport
I spent $56 on transportation to the airport,56,Transport
I paid $173 for parking downtown,173,Transport
I spent $102 on train for my commute,102,Transport
I used Uber and paid $87 for errands,87,Transport
I took an ride share to the concert and paid $187 for the ride,187,Transport
I paid $78 for car maintenance and repairs,78,Transport
I spent $101 on Lyft for my commute,101,Transport
I paid $145 for Lyft to the airport,145,Transport
I spent $182 on transportation to the school,182,Transport
I spent $8 on transportation to the airport,8,Transport
I paid $33 for subway to work,33,Transport
I used shuttle and spent $62,62,Transport
I paid $66 for my daily commute,66,Transport
I spent $114 on Lyft for my commute,114,Transport
I spent $71 on bus for the meeting,71,Transport
I spent $146 on transportation to the mall,146,Transport
I spent $117 on ride share to visit family,117,Transport
I paid $164 for car maintenance and repairs,164,Transport
I took metro and paid $114 downtown,114,Transport
I took subway and paid $184 downtown,184,Transport
I spent $133 on ride share for my commute,133,Transport
I paid $17 for car maintenance and repairs,17,Transport
I used train and paid $82 to get to the appointment,82,Transport
I spent $126 on Uber to visit family,126,Transport
I used train and paid $64 for errands,64,Transport
I paid $81 for parking downtown,81,Transport
I used train and spent $68,68,Transport
I used taxi and paid $77 to get to downtown,77,Transport
I spent $121 on shuttle for the meeting,121,Transport
I purchased a train ticket and paid $101 to the office,101,Transport
I paid $187 for car maintenance and repairs,187,Transport
I spent $94 on transportation to the city,94,Transport
I filled up my gas tank and paid $137,137,Transport
I filled up my gas tank and paid $78,78,Transport
I spent $138 on taxi for the meeting,138,Transport
I spent $199 on Uber to visit family,199,Transport
I spent $5 on Uber for the meeting,5,Transport
I took shuttle and paid $164 for the trip,164,Transport
I paid $37 for ride share,37,Transport
I used subway and paid $45 to get to the hospital,45,Transport
I used subway and paid $73 for errands,73,Transport
I purchased a subway ticket and paid $101 to the restaurant,101,Transport
I used subway and spent $20,20,Transport
I took taxi and paid $160 for the trip,160,Transport
I paid $38 for bus to work,38,Transport
I paid $158 for taxi to work,158,Transport
I took subway and paid $135 downtown,135,Transport
I paid $30 for taxi,30,Transport
I spent $39 on train for my commute,39,Transport
I used metro and paid $79 for errands,79,Transport
I paid $184 for Lyft,184,Transport
I spent $74 on gas for the car,74,Transport
I paid $105 for parking downtown,105,Transport
I used subway and paid $45 to get to the city,45,Transport
I took train and paid $29 downtown,29,Transport
I spent $37 on Lyft for my commute,37,Transport
I filled up my gas tank and paid $88,88,Transport
I spent $77 on gas for the car,77,Transport
I paid $132 for my daily commute,132,Transport
I spent $192 on bus for my commute,192,Transport
I paid $186 for shuttle,186,Transport
I paid $61 for parking at the mall,61,Transport
I used train and paid $184 to get to the restaurant,184,Transport
I used train and spent $168,168,Transport
I paid $179 for bus,179,Transport
I used subway and paid $111 for errands,111,Transport
I paid $187 for ride share to the airport,187,Transport
I took subway and paid $11 for the trip,11,Transport
I used Lyft and paid $149 for errands,149,Transport
I used Lyft and paid $127 to get to the city,127,Transport
I took taxi and paid $92 downtown,92,Transport
I paid $45 for my daily commute,45,Transport
I spent $46 on transportation to the meeting,46,Transport
I paid $186 for parking at the stadium,186,Transport
I took subway and paid $48 for the trip,48,Transport
I purchased a bus ticket and paid $105 to downtown,105,Transport
I paid $114 for taxi to work,114,Transport
I took shuttle and paid $183 downtown,183,Transport
I took train and paid $35 downtown,35,Transport
I spent $33 on metro to visit family,33,Transport
I used subway and paid $117 to get to the restaurant,117,Transport
I paid $174 for metro to the airport,174,Transport
I paid $178 for ride share to the airport,178,Transport
I spent $43 on gas for the car,43,Transport
I spent $30 on bus for the meeting,30,Transport
I spent $51 on gas for the car,51,Transport
I paid $70 for bus to the airport,70,Transport
I used shuttle and paid $61 to get to the concert,61,Transport
I paid $73 for my daily commute,73,Transport
I paid $9 for car maintenance and repairs,9,Transport
I paid $155 for car maintenance and repairs,155,Transport
I used taxi and spent $12,12,Transport
I paid $12 for Lyft to work,12,Transport
I purchased a bus ticket and paid $95 to the meeting,95,Transport
I paid $54 for parking downtown,54,Transport
I paid $11 for bus to work,11,Transport
I spent $183 on bus for my commute,183,Transport
I used bus and spent $47,47,Transport
I purchased a metro ticket and paid $133 to the concert,133,Transport
I spent $143 on metro for the meeting,143,Transport
I paid $109 for my daily commute,109,Transport
I paid $62 for car maintenance and repairs,62,Transport
I paid $200 for ride share to the airport,200,Transport
I spent $200 on Lyft for the meeting,200,Transport
I filled up my gas tank and paid $140,140,Transport
I took an metro to the meeting and paid $160 for the ride,160,Transport
I paid $137 for parking at the city center,137,Transport
I took ride share and paid $142 downtown,142,Transport
I spent $114 on Lyft to visit family,114,Transport
I used subway and paid $19 to get to the concert,19,Transport
I used subway and paid $60 to get to the school,60,Transport
I took bus and paid $198 downtown,198,Transport
I paid $74 for shuttle to work,74,Transport
I paid $190 for shuttle,190,Transport
I spent $172 on transportation to the meeting,172,Transport
I paid $187 for parking downtown,187,Transport
I paid $86 for car maintenance and repairs,86,Transport
I spent $80 on shuttle for the meeting,80,Transport
I spent $121 on ride share for my commute,121,Transport
I paid $156 for parking downtown,156,Transport
I used train and paid $184 for errands,184,Transport
I used bus and paid $112 to get to downtown,112,Transport
I paid $197 for shuttle,197,Transport
I took ride share and paid $126 downtown,126,Transport
I used bus and spent $34,34,Transport
I took Uber and paid $131 for the trip,131,Transport
I spent $178 on Uber to visit family,178,Transport
I took bus and paid $170 downtown,170,Transport
I spent $161 on taxi for the meeting,161,Transport
I paid $168 for subway to the airport,168,Transport
I paid $34 for bus,34,Transport
I used shuttle and paid $104 for errands,104,Transport
I paid $160 for bus to work,160,Transport
I took Lyft and paid $28 for the trip,28,Transport
I paid $54 for car maintenance and repairs,54,Transport
I spent $17 on train to visit family,17,Transport
I spent $142 on ride share for my commute,142,Transport
I spent $24 on Lyft for my commute,24,Transport
I spent $149 on taxi to visit family,149,Transport
I spent $139 on Uber to visit family,139,Transport
I paid $122 for parking at downtown,122,Transport
I paid $110 for parking downtown,110,Transport
I used bus and paid $13 for errands,13,Transport
I paid $156 for parking downtown,156,Transport
I paid $15 for my daily commute,15,Transport
I purchased a metro ticket and paid $174 to the hospital,174,Transport
I spent $52 on subway to visit family,52,Transport
I used Lyft and spent $143,143,Transport
I paid $104 for parking downtown,104,Transport
I paid $87 for car maintenance and repairs,87,Transport
I paid $127 for shuttle to work,127,Transport
I filled up my gas tank and paid $39,39,Transport
I paid $11 for Uber to work,11,Transport
I purchased a subway ticket and paid $177 to the airport,177,Transport
I used train and spent $7,7,Transport
I took Uber and paid $11 for the trip,11,Transport
I paid $196 for metro to work,196,Transport
I paid $68 for car maintenance and repairs,68,Transport
I purchased a subway ticket and paid $155 to the appointment,155,Transport
I paid $101 for parking at the mall,101,Transport
I paid $76 for ride share to work,76,Transport
I used metro and spent $89,89,Transport
I paid $9 for metro,9,Transport
I filled up my gas tank and paid $113,113,Transport
I paid $55 for parking at the mall,55,Transport
I paid $169 for car maintenance and repairs,169,Transport
I took an shuttle to work and paid $186 for the ride,186,Transport
I paid $123 for parking downtown,123,Transport
I spent $42 on metro for the meeting,42,Transport
I purchased a train ticket and paid $86 to work,86,Transport
I spent $195 on ride share to visit family,195,Transport
I paid $122 for car maintenance and repairs,122,Transport
I used Lyft and paid $172 for errands,172,Transport
I paid $119 for my daily commute,119,Transport
I spent $133 on transportation to the appointment,133,Transport
I paid $53 for subway to the airport,53,Transport
I spent $13 on ride share for my commute,13,Transport
I paid $100 for my daily commute,100,Transport
I used Uber and spent $73,73,Transport
I paid $27 for parking at work,27,Transport
I used metro and spent $133,133,Transport
I paid $113 for parking at the airport,113,Transport
I paid $52 for train to the airport,52,Transport
I spent $173 on shuttle for the meeting,173,Transport
I spent $118 on Lyft for the meeting,118,Transport
I spent $37 on train for my commute,37,Transport
I spent $59 on Lyft to visit family,59,Transport
I used metro and paid $144 to get to the concert,144,Transport
I spent $173 on transportation to the meeting,173,Transport
I spent $164 on metro for my commute,164,Transport
I paid $112 for parking downtown,112,Transport
I paid $12 for bus to work,12,Transport
I paid $104 for parking at the hospital,104,Transport
I filled up my gas tank and paid $60,60,Transport
I used taxi and spent $18,18,Transport
I paid $21 for car maintenance and repairs,21,Transport
I spent $18 on bus for the meeting,18,Transport
I paid $142 for Uber to work,142,Transport
I spent $72 on ride share to visit family,72,Transport
I spent $53 on ride share for the meeting,53,Transport
I spent $149 on subway for my commute,149,Transport
I paid $19 for bus to the airport,19,Transport
I spent $130 on taxi for my commute,130,Transport
I purchased a subway ticket and paid $152 to the office,152,Transport
I took taxi and paid $181 downtown,181,Transport
I spent $104 on transportation to the city,104,Transport
I paid $163 for parking at the mall,163,Transport
I filled up my gas tank and paid $129,129,Transport
I used bus and paid $85 to get to the appointment,85,Transport
I paid $127 for parking at the hospital,127,Transport
I paid $158 for bus,158,Transport
I took metro and paid $81 downtown,81,Transport
I paid $3 for Lyft to work,3,Transport
I filled up my gas tank and paid $71,71,Transport
I took metro and paid $192 downtown,192,Transport
I used Lyft and spent $110,110,Transport
I paid $153 for parking downtown,153,Transport
I used metro and spent $194,194,Transport
I used bus and paid $130 to get to work,130,Transport
I filled up my gas tank and paid $108,108,Transport
I used train and spent $178,178,Transport
I paid $9 for parking downtown,9,Transport
I paid $163 for parking at downtown,163,Transport
I paid $104 for parking downtown,104,Transport
I paid $125 for parking at the city center,125,Transport
I used shuttle and paid $137 for errands,137,Transport
I spent $138 on transportation to the concert,138,Transport
I used taxi and spent $192,192,Transport
I spent $94 on Lyft for my commute,94,Transport
I took subway and paid $129 for the trip,129,Transport
I paid $36 for shuttle to work,36,Transport
I spent $85 on transportation to downtown,85,Transport
I took an ride share to the hospital and paid $183 for the ride,183,Transport
I used metro and spent $50,50,Transport
I used taxi and spent $101,101,Transport
I paid $108 for my daily commute,108,Transport
I paid $68 for metro,68,Transport
I paid $22 for parking at the airport,22,Transport
I spent $34 on transportation to the restaurant,34,Transport
I spent $150 on ride share to visit family,150,Transport
I paid $93 for my daily commute,93,Transport
I took train and paid $148 downtown,148,Transport
I used Lyft and paid $122 for errands,122,Transport
I used Lyft and spent $36,36,Transport
I took Uber and paid $122 downtown,122,Transport
I used ride share and paid $186 for errands,186,Transport
I paid $199 for parking downtown,199,Transport
I used Lyft and paid $65 for errands,65,Transport
I used metro and spent $96,96,Transport
I took bus and paid $99 for the trip,99,Transport
I spent $77 on transportation to the appointment,77,Transport
I paid $194 for parking at the stadium,194,Transport
I paid $20 for parking downtown,20,Transport
I paid $123 for taxi to the airport,123,Transport
I paid $188 for my daily commute,188,Transport
I spent $17 on transportation to the appointment,17,Transport
I spent $7 on train to visit family,7,Transport
I paid $13 for parking at the stadium,13,Transport
I spent $82 on subway to visit family,82,Transport
I spent $55 on gas for the car,55,Transport
I paid $7 for parking downtown,7,Transport
I took shuttle and paid $109 for the trip,109,Transport
I took taxi and paid $145 downtown,145,Transport
I took bus and paid $153 for the trip,153,Transport
I took an Lyft to the appointment and paid $143 for the ride,143,Transport
I paid $174 for car maintenance and repairs,174,Transport
I used ride share and paid $131 for errands,131,Transport
I purchased a metro ticket and paid $98 to the school,98,Transport
I paid $126 for parking downtown,126,Transport
I spent $179 on ride share for my commute,179,Transport
I spent $28 on gas for the car,28,Transport
I used ride share and paid $182 for errands,182,Transport
I spent $145 on gas for the car,145,Transport
